dbo;CnsNotaEntradaAutorizadasConsiderandoOfflines;33
dbo;CnsNotaEntradaAutorizadasDesconsiderandoOfflines;33
dbo;ControleEntrega;32
dbo;CnsImoveis;32
dbo;RelCustoCabecalho;32
dbo;MDFeIdentificacao;31
dbo;MovimentoEstoqueRepositorio;31
dbo;NotaSaidaAdicionaisNFe;31
dbo;PedidoCompraProdutos;31
dbo;CnsDescargaProdutos;31
dbo;CnsConciliacaoBancaria;31
dbo;CnsaReceberObras;31
dbo;ClientesCadastroPalm;31
dbo;CnsAPagarReceberAPI;30
dbo;CnsAreceberIntegracaoAPI;30
dbo;CnsFusionPedidosTransferidos;30
dbo;Comanda;30
dbo;CTeIBS_CBS;30
dbo;CnsMovimentoCaixaBancoConciliacao;30
dbo;CnsVendaTriangular;30
dbo;IntegradorConfiguracao;30
dbo;ReducoesECF;30
dbo;TabelaNCMConfiguracao;29
dbo;MovimentoCaixaBancoRepositorio;28
dbo;CnsTicketSuprimentoSangria;28
dbo;CnsProdutosEquivalentes01;28
dbo;CupomTemporarioPagamento;28
dbo;CupomTemporario;28
dbo;CupomTemporarioCRMBonus;28
dbo;AgendaEventos;28
dbo;aReceberCobranca;27
dbo;ClientesDependente;27
dbo;CnsAreceberNotificacaoAtraso;27
dbo;CnsClasseFinanceira;27
dbo;CnsContratoAtivo;27
dbo;ContagemFisica;27
dbo;WMSMovimentoEstoque;27
dbo;TabelaImpostos;26
dbo;ProdutosFichaTecnica;26
dbo;NotaSaidaCondicaoPagamento;26
dbo;OrdemServicoProdutos;26
dbo;IntegradorExclusao;26
dbo;Imoveis;26
dbo;CotacaoCompra;26
dbo;CnsCozinha;26
dbo;CnsAtendimento;26
dbo;CnsGerenciamentoContratoItem;26
dbo;ClasseFinanceira;26
dbo;aReceberPortalDocumentos;25
dbo;BorderoDesconto;25
dbo;CnsaReceberPortalDocumentos;25
dbo;CnsContratoCliente;25
dbo;CupomItemCancelado;25
dbo;ContabLayout3;25
dbo;CnsNotaEntradaICMS;25
dbo;CnsNotaEntradaICMSTipoProduto;25
dbo;CnsNotaSaidaICMSTipoProduto;25
dbo;FuncaoPessoalAcesso;25
dbo;ECFDocumentosEmitidos;25
dbo;OrdemServicoVeiculo;25
