dbo;AribaPedidoItem;ID
dbo;AribaPedidoItem;Ordem
dbo;ArquivosImportadosFV;NomeArquivo
dbo;ArquivosNFe;ChaveAcesso
dbo;ArquivosNFe;CNPJ
dbo;ArquivosNFe;TipoArquivo
dbo;ArquivosNFe;TipoProtocolo
dbo;Assuntos;CodAssunto
dbo;Atendimento;CodEmpresa
dbo;Atendimento;Desdobramento
dbo;Atendimento;NumAtendimento
dbo;AtendimentoAnexos;CodEmpresa
dbo;AtendimentoAnexos;Desdobramento
dbo;AtendimentoAnexos;NomeArquivo
dbo;AtendimentoAnexos;NumAtendimento
dbo;AtendimentoIteracao;CodEmpresa
dbo;AtendimentoIteracao;Desdobramento
dbo;AtendimentoIteracao;NumAtendimento
dbo;AtendimentoIteracao;NumIteracao
dbo;AtendimentoPrazo;CodEmpresa
dbo;AtendimentoPrazo;DataAbertura
dbo;AtendimentoPrazo;Desdobramento
dbo;AtendimentoPrazo;HoraAbertura
dbo;AtendimentoPrazo;NumAtendimento
dbo;AtendimentoPrioridade;CodAtendimentoPrioridade
dbo;AutorizacaoCompra;CodEmpresa
dbo;AutorizacaoCompra;NumAutorizacao
dbo;BoletimRecebimento;CodEmpresa
dbo;BoletimRecebimento;NumBoletim
dbo;BoletimRecebimentoCarga;CodCarga
dbo;BoletimRecebimentoCarga;CodEmpresa
dbo;BoletimRecebimentoCarga;NumBoletim
dbo;BoletimRecebimentoDespesas;CodEmpresa
dbo;BoletimRecebimentoDespesas;NumBoletim
dbo;BoletimRecebimentoDespesas;NumDespesa
dbo;BoletimRecebimentoDocumento;CodEmpresa
dbo;BoletimRecebimentoDocumento;Desdobramento
dbo;BoletimRecebimentoDocumento;NumBoletim
dbo;BoletimRecebimentoDocumento;Numero
dbo;Bonificacao;Numero
dbo;BorderoDesconto;NumDesconto
dbo;BorderoDesconto;CodEmpresa
dbo;BorderoDescontoaChequesRecebidos;CodAgencia
dbo;BorderoDescontoaChequesRecebidos;CodBanco
dbo;BorderoDescontoaChequesRecebidos;CodEmpresa
dbo;BorderoDescontoaChequesRecebidos;NumDesconto
dbo;BorderoDescontoaChequesRecebidos;NumeroCheque
dbo;BorderoDescontoaChequesRecebidos;NumeroContaCorrente
dbo;BorderoDescontoaReceber;CodEmpresa
dbo;BorderoDescontoaReceber;Desdobramento
