dbo;AgendaEventosAtendimento;RegInclusao;smalldatetime;NULL;NO;(getdate())
dbo;AgendaEventosAtendimento;Desdobramento;smallint;NULL;NO;((0))
dbo;AgendaEventosProdutos;NumEvento;int;NULL;NO;((0))
dbo;AgendaEventosProdutos;CodProduto;nvarchar;7;NO;('')
dbo;AgendaEventosProdutos;CodEmpresa;int;NULL;NO;((0))
dbo;AgendaEventosProdutos;CodClienteHospital;nvarchar;8;NO;('')
dbo;AgendaEventosProdutos;CodClienteMedico;nvarchar;8;NO;('')
dbo;AgendaEventosProdutos;Observacao;nvarchar;150;NO;('')
dbo;AgendaEventosProdutos;DataAlteracao;smalldatetime;NULL;NO;('1/1/1900')
dbo;AgendaEventosProdutos;HoraAlteracao;smalldatetime;NULL;NO;('00:00:00')
dbo;AgendaEventosProdutos;CodUsuarioAlteracao;int;NULL;NO;((0))
dbo;AgendaEventosProdutos;RegInclusao;datetime;NULL;NO;(getdate())
dbo;AgendaEventosUsuarios;NumEvento;int;NULL;NO;((0))
dbo;AgendaEventosUsuarios;CodUsuario;int;NULL;NO;((0))
dbo;AgendaEventosUsuarios;DataAlteracao;smalldatetime;NULL;NO;('1/1/1900')
dbo;AgendaEventosUsuarios;HoraAlteracao;smalldatetime;NULL;NO;('00:00:00')
dbo;AgendaEventosUsuarios;CodUsuarioAlteracao;int;NULL;NO;((0))
dbo;AgendaEventosUsuarios;RegInclusao;datetime;NULL;NO;(getdate())
dbo;AjusteApuracaoPISCOFINS;CSTPISCOFINS;nvarchar;2;NO;('')
dbo;AjusteApuracaoPISCOFINS;PercPIS;decimal;NULL;NO;((0))
dbo;AjusteApuracaoPISCOFINS;PercCOFINS;decimal;NULL;NO;((0))
dbo;AjusteApuracaoPISCOFINS;CodEmpresa;int;NULL;NO;((0))
dbo;AjusteApuracaoPISCOFINS;MesAnoReferencia;nvarchar;7;NO;('')
dbo;AjusteApuracaoPISCOFINS;TipoAjuste;nvarchar;1;NO;('')
dbo;AjusteApuracaoPISCOFINS;CodAjustePISCOFINS;nvarchar;2;NO;('')
dbo;AjusteApuracaoPISCOFINS;NumeroDocumentoVinculado;nvarchar;12;NO;('')
dbo;AjusteApuracaoPISCOFINS;PIS_SN;bit;NULL;NO;((0))
dbo;AjusteApuracaoPISCOFINS;COFINS_SN;bit;NULL;NO;((0))
dbo;AjusteApuracaoPISCOFINS;GeradoSistemaSN;bit;NULL;NO;((0))
dbo;AjusteApuracaoPISCOFINS;ValorAjuste;money;NULL;NO;((0))
dbo;AjusteApuracaoPISCOFINS;Descricao;nvarchar;254;NO;('')
