AgendaEventos_CodAgenda;Agenda;CodAgenda;AgendaEventos;CodAgenda
FK_AtendimentoAnexos_Atendimento;Atendimento;CodEmpresa;AtendimentoAnexos;CodEmpresa
FK_AtendimentoIteracao_Atendimento;Atendimento;CodEmpresa;AtendimentoIteracao;CodEmpresa
FK_AtendimentoIteracao_Atendimento;Atendimento;Desdobramento;AtendimentoIteracao;Desdobramento
FK_AtendimentoIteracao_Atendimento;Atendimento;NumAtendimento;AtendimentoIteracao;NumAtendimento
FK_AtendimentoPrazo_Atendimento;Atendimento;NumAtendimento;AtendimentoPrazo;NumAtendimento
FK_AtendimentoPrazo_Atendimento;Atendimento;Desdobramento;AtendimentoPrazo;Desdobramento
FK_AtendimentoPrazo_Atendimento;Atendimento;CodEmpresa;AtendimentoPrazo;CodEmpresa
FK_CQSRegistrosAtendimento_Atendimento;Atendimento;CodEmpresa;CQSRegistrosAtendimento;CodEmpresa
FK_CQSRegistrosAtendimento_Atendimento;Atendimento;NumAtendimento;CQSRegistrosAtendimento;NumAtendimento
FK_CQSRegistrosAtendimento_Atendimento;Atendimento;Desdobramento;CQSRegistrosAtendimento;Desdobramento
FK_LigacaoTelefonicaAtendimento_Atendimento;Atendimento;Desdobramento;LigacaoTelefonicaAtendimento;Desdobramento
FK_LigacaoTelefonicaAtendimento_Atendimento;Atendimento;CodEmpresa;LigacaoTelefonicaAtendimento;CodEmpresa
FK_LigacaoTelefonicaAtendimento_Atendimento;Atendimento;NumAtendimento;LigacaoTelefonicaAtendimento;NumAtendimento
FK_RDM_Atendimento;Atendimento;CodEmpresa;RDM;CodEmpresa
FK_RDM_Atendimento;Atendimento;Desdobramento;RDM;DesdobramentoAtendimento
FK_RDM_Atendimento;Atendimento;NumAtendimento;RDM;NumAtendimento
BoletimRecebimentoCarga_NumBoletim;BoletimRecebimento;CodEmpresa;BoletimRecebimentoCarga;CodEmpresa
BoletimRecebimentoCarga_NumBoletim;BoletimRecebimento;NumBoletim;BoletimRecebimentoCarga;NumBoletim
BoletimRecebimentoDespesas_NumBoletim;BoletimRecebimento;NumBoletim;BoletimRecebimentoDespesas;NumBoletim
BoletimRecebimentoDespesas_NumBoletim;BoletimRecebimento;CodEmpresa;BoletimRecebimentoDespesas;CodEmpresa
BoletimRecebimentoDocumento_NumBoletim;BoletimRecebimento;CodEmpresa;BoletimRecebimentoDocumento;CodEmpresa
BoletimRecebimentoDocumento_NumBoletim;BoletimRecebimento;NumBoletim;BoletimRecebimentoDocumento;NumBoletim
BorderoDescontoaChequesRecebidos_NumDesconto;BorderoDesconto;CodEmpresa;BorderoDescontoaChequesRecebidos;CodEmpresa
BorderoDescontoaChequesRecebidos_NumDesconto;BorderoDesconto;NumDesconto;BorderoDescontoaChequesRecebidos;NumDesconto
BorderoDescontoaReceber_NumDesconto;BorderoDesconto;NumDesconto;BorderoDescontoaReceber;NumDesconto
BorderoDescontoaReceber_NumDesconto;BorderoDesconto;CodEmpresa;BorderoDescontoaReceber;CodEmpresa
BoletimRecebimento_CodConta;CaixaBanco;CodConta;BoletimRecebimento;CodConta
ConciliacaoBancaria_CodConta;CaixaBanco;CodConta;ConciliacaoBancaria;CodConta
Mapao_CodConta;CaixaBanco;CodConta;Mapao;CodConta
MovimentoCaixaBanco_CodConta;CaixaBanco;CodConta;MovimentoCaixaBanco;CodConta
CampanhaOperador_CodCampanha;Campanha;CodCampanha;CampanhaOperador;CodCampanha
CampanhaOperador_CodCampanha;Campanha;CodEmpresa;CampanhaOperador;CodEmpresa
CampanhaPesquisa_CodCampanha;Campanha;CodEmpresa;CampanhaPesquisa;CodEmpresa
CampanhaPesquisa_CodCampanha;Campanha;CodCampanha;CampanhaPesquisa;CodCampanha
CampanhaProduto_CodCampanha;Campanha;CodCampanha;CampanhaProduto;CodCampanha
CampanhaProduto_CodCampanha;Campanha;CodEmpresa;CampanhaProduto;CodEmpresa
CampanhaPesquisaResposta_CodCampanhaPesquisa;CampanhaPesquisa;CodCampanhaPesquisa;CampanhaPesquisaResposta;CodCampanhaPesquisa
CampanhaPesquisaResposta_CodCampanhaPesquisa;CampanhaPesquisa;CodEmpresa;CampanhaPesquisaResposta;CodEmpresa
Campanha_CodCanalVenda;CanalVenda;CodCanalVenda;Campanha;CodCanalVenda
CargasSituacao_CodCarga;Cargas;CodCarga;CargasSituacao;CodCarga
CargasSituacao_CodCarga;Cargas;CodEmpresa;CargasSituacao;CodEmpresa
FK_MDFeIdentificacaoCargas_Cargas;Cargas;CodEmpresa;MDFeIdentificacaoCargas;CodEmpresaCarga
FK_MDFeIdentificacaoCargas_Cargas;Cargas;CodCarga;MDFeIdentificacaoCargas;CodCarga
aPagarDistribFinanceira_CodCentroCusto;CentroCusto;CodCentroCusto;aPagarDistribFinanceira;CodCentroCusto
FK_CentroCustoMensagemData_CentroCusto;CentroCusto;CodCentroCusto;CentroCustoMensagemData;CodCentroCusto
PedidoCompraDistribFinanceira_CodCentroCusto;CentroCusto;CodCentroCusto;PedidoCompraDistribFinanceira;CodCentroCusto
