AgendaEventos_CodAgenda;Agenda;CodAgenda;AgendaEventos;CodAgenda
FK_EmpresasConfiguracaoLogin_Empresas;Empresas;CodEmpresa;EmpresasConfiguracaoLogin;CodEmpresa
EmpresasConfiguracaoVariavel_CodEmpresa;Empresas;CodEmpresa;EmpresasConfiguracaoVariavel;CodEmpresa
EmpresasCS_CodEmpresa;Empresas;CodEmpresa;EmpresasCS;CodEmpresa
EmpresasFilial_CodEmpresa;Empresas;CodEmpresa;EmpresasFilial;CodEmpresa
EmpresasInscricaoEstado_CodEmpresa;Empresas;CodEmpresa;EmpresasInscricaoEstado;CodEmpresa
FK_EmpresasLocalRetirada_Empresas;Empresas;CodEmpresa;EmpresasLocalRetirada;CodEmpresa
EmpresasMedicamento_CodEmpresa;Empresas;CodEmpresa;EmpresasMedicamento;CodEmpresa
Mapao_CodEmpresa;Empresas;CodEmpresa;Mapao;CodEmpresa
MapaoSaldoRegiao_CodEmpresa;Empresas;CodEmpresa;MapaoSaldoRegiao;CodEmpresa
NotaEntrada_CodEmpresa;Empresas;CodEmpresa;NotaEntrada;CodEmpresa
Obras_CodEmpresa;Empresas;CodEmpresa;Obras;CodEmpresa
ProdutosEstoque_CodEmpresa;Empresas;CodEmpresa;ProdutosEstoque;CodEmpresa
SerieNotaFiscal_CodEmpresa;Empresas;CodEmpresa;SerieNotaFiscal;CodEmpresa
FK_SituacaoPedidoCliente_Empresas;Empresas;CodEmpresa;SituacaoPedidoCliente;CodEmpresa
FK_EquipamentosAnexos_Equipamentos;Equipamentos;IDEquipamento;EquipamentosAnexos;IDEquipamento
EquipamentosContador_IDEquipamento;Equipamentos;IDEquipamento;EquipamentosContador;IDEquipamento
EquipamentosPneus_IDEquipamento;Equipamentos;IDEquipamento;EquipamentosPneus;IDEquipamento
PlanilhaManutencao_IDEquipamento;Equipamentos;IDEquipamento;PlanilhaManutencao;IDEquipamento
ClientesMedico_CodEspecialidadeMedica;EspecialidadeMedica;CodEspecialidadeMedica;ClientesMedico;CodEspecialidadeMedica
FK_FiltroFormControles_FiltroForm;FiltroForm;CodUsuario;FiltroFormControles;CodUsuario
FK_FiltroFormControles_FiltroForm;FiltroForm;NomeFiltro;FiltroFormControles;NomeFiltro
FK_FiltroFormControles_FiltroForm;FiltroForm;NomeForm;FiltroFormControles;NomeForm
FK_PDVCaixaFormaPagamento_FormaPagamento;FormaPagamento;CodFormaPagamento;PDVCaixaFormaPagamento;CodFormaPagamento
FK_ProducaoFuncionario_FuncaoFuncionario;FuncaoFuncionario;CodFuncaoFuncionario;ProducaoFuncionario;CodFuncaoFuncionario
FuncaoPessoalAcesso_CodFuncao;FuncaoPessoal;CodFuncao;FuncaoPessoalAcesso;CodFuncao
MenuEstruturaFuncaoPessoal_CodFuncao;FuncaoPessoal;CodFuncao;MenuEstruturaFuncaoPessoal;CodFuncao
Pessoal_CodFuncao;FuncaoPessoal;CodFuncao;Pessoal;CodFuncao
WMSOperacaoFuncaoPessoal_CodFuncao;FuncaoPessoal;CodFuncao;WMSOperacaoFuncaoPessoal;CodFuncao
WMSTipoOSFuncaoPessoal_CodFuncao;FuncaoPessoal;CodFuncao;WMSTipoOSFuncaoPessoal;CodFuncao
Produtos_CodGeneroItem;GeneroItem;CodGeneroItem;Produtos;CodGeneroItem
GNRENotaEntrada_MesAnoReferencia;GNRE;CodEmpresa;GNRENotaEntrada;CodEmpresa
GNRENotaEntrada_MesAnoReferencia;GNRE;DataVencimentoICMS;GNRENotaEntrada;DataVencimentoICMS
GNRENotaEntrada_MesAnoReferencia;GNRE;MesAnoReferencia;GNRENotaEntrada;MesAnoReferencia
GNRENotaEntrada_MesAnoReferencia;GNRE;NumeroGNRE;GNRENotaEntrada;NumeroGNRE
GNRENotaEntrada_MesAnoReferencia;GNRE;UFFavorecido;GNRENotaEntrada;UFFavorecido
GNRENotaEntrada_MesAnoReferencia;GNRE;UFSubstituto;GNRENotaEntrada;UFSubstituto
FK_GrupoEstoqueSeriePedido_GrupoEstoque;GrupoEstoque;CodGrupo;GrupoEstoqueSeriePedido;CodGrupo
FK_Produtos_GrupoEstoque;GrupoEstoque;CodGrupo;Produtos;CodGrupo
LancamentosNM_CodGrupoNM;GrupoNM;CodGrupoNM;LancamentosNM;CodGrupoNM
GrupoUsuarioMembros_idGrupoUsuario;GrupoUsuario;idGrupoUsuario;GrupoUsuarioMembros;idGrupoUsuario
MarcacaoPonto_idHorario;HorarioTrabalho;idHorario;MarcacaoPonto;idHorario
QuadroHorarioPessoal_idHorario;HorarioTrabalho;idHorario;QuadroHorarioPessoal;idHorario
QuadroHorarioSetor_idHorario;HorarioTrabalho;idHorario;QuadroHorarioSetor;idHorario
ContratosImoveis_IDImovel;Imoveis;IDImovel;ContratosImoveis;IDImovel
Contratos_CodIndiceFinanceiro;IndiceFinanceiro;CodIndiceFinanceiro;Contratos;CodIndiceFinanceiro
IndiceFinanceiroValores_CodIndiceFinanceiro;IndiceFinanceiro;CodIndiceFinanceiro;IndiceFinanceiroValores;CodIndiceFinanceiro
FK_IntegradorTabelaCampos_IntegradorTabela;IntegradorTabela;NomeTabela;IntegradorTabelaCampos;NomeTabela
LigacaoTelefonicaAtendimento_NumLigacao;LigacaoTelefonica;NumLigacao;LigacaoTelefonicaAtendimento;NumLigacao
Equipamentos_CodLocalEquipamento;LocalEquipamento;CodLocalEquipamento;Equipamentos;CodLocalEquipamento
NotaSaidaLoteNFSe_NumLote;LoteNFSe;CodEmpresa;NotaSaidaLoteNFSe;CodEmpresa
NotaSaidaLoteNFSe_NumLote;LoteNFSe;NumLote;NotaSaidaLoteNFSe;NumLote
FK_ProdutosMarcas_MarcaProduto;MarcaProduto;CodMarcaProduto;ProdutosMarcas;CodMarcaProduto
MarketingRelacionamentoAnexos_NumVenda;MarketingRelacionamento;CodEmpresa;MarketingRelacionamentoAnexos;CodEmpresa
MarketingRelacionamentoAnexos_NumVenda;MarketingRelacionamento;NumRegistro;MarketingRelacionamentoAnexos;NumRegistro
MarketingRelacionamentoAnexos_NumVenda;MarketingRelacionamento;NumVenda;MarketingRelacionamentoAnexos;NumVenda
MarketingContatos_NumVenda;MarketingVendas;NumVenda;MarketingContatos;NumVenda
MarketingContatos_NumVenda;MarketingVendas;CodEmpresa;MarketingContatos;CodEmpresa
MarketingProdutos_NumVenda;MarketingVendas;CodEmpresa;MarketingProdutos;CodEmpresa
MarketingProdutos_NumVenda;MarketingVendas;NumVenda;MarketingProdutos;NumVenda
MarketingRelacionamento_NumVenda;MarketingVendas;NumVenda;MarketingRelacionamento;NumVenda
MarketingRelacionamento_NumVenda;MarketingVendas;CodEmpresa;MarketingRelacionamento;CodEmpresa
FK_MDFeCondutor_MDFeCondutor;MDFeCondutor;CodEmpresa;MDFeCondutor;CodEmpresa
FK_MDFeCondutor_MDFeCondutor;MDFeCondutor;CPF;MDFeCondutor;CPF
FK_MDFeCondutor_MDFeCondutor;MDFeCondutor;Numero;MDFeCondutor;Numero
FK_MDFeCondutor_MDFeCondutor;MDFeCondutor;Serie;MDFeCondutor;Serie
MDFeAutorizacaoDownload_Numero;MDFeIdentificacao;Serie;MDFeAutorizacaoDownload;Serie
MDFeAutorizacaoDownload_Numero;MDFeIdentificacao;CodEmpresa;MDFeAutorizacaoDownload;CodEmpresa
MDFeAutorizacaoDownload_Numero;MDFeIdentificacao;Numero;MDFeAutorizacaoDownload;Numero
MDFeCarregamento_Numero;MDFeIdentificacao;Numero;MDFeCarregamento;Numero
MDFeCarregamento_Numero;MDFeIdentificacao;CodEmpresa;MDFeCarregamento;CodEmpresa
MDFeCarregamento_Numero;MDFeIdentificacao;Serie;MDFeCarregamento;Serie
FK_MDFeContratante_MDFeIdentificacao;MDFeIdentificacao;Serie;MDFeContratante;Serie
FK_MDFeContratante_MDFeIdentificacao;MDFeIdentificacao;Numero;MDFeContratante;Numero
FK_MDFeContratante_MDFeIdentificacao;MDFeIdentificacao;CodEmpresa;MDFeContratante;CodEmpresa
MDFeDocumentos_Numero;MDFeIdentificacao;Numero;MDFeDocumentos;Numero
MDFeDocumentos_Numero;MDFeIdentificacao;CodEmpresa;MDFeDocumentos;CodEmpresa
MDFeDocumentos_Numero;MDFeIdentificacao;Serie;MDFeDocumentos;Serie
FK_MDFeEventos_MDFeIdentificacao;MDFeIdentificacao;Serie;MDFeEventos;Serie
FK_MDFeEventos_MDFeIdentificacao;MDFeIdentificacao;Numero;MDFeEventos;Numero
FK_MDFeEventos_MDFeIdentificacao;MDFeIdentificacao;CodEmpresa;MDFeEventos;CodEmpresa
FK_MDFeIdentificacaoCargas_MDFeIdentificacao;MDFeIdentificacao;CodEmpresa;MDFeIdentificacaoCargas;CodEmpresa
FK_MDFeIdentificacaoCargas_MDFeIdentificacao;MDFeIdentificacao;Numero;MDFeIdentificacaoCargas;Numero
FK_MDFeIdentificacaoCargas_MDFeIdentificacao;MDFeIdentificacao;Serie;MDFeIdentificacaoCargas;Serie
MDFeLacres_Numero;MDFeIdentificacao;Serie;MDFeLacres;Serie
MDFeLacres_Numero;MDFeIdentificacao;CodEmpresa;MDFeLacres;CodEmpresa
MDFeLacres_Numero;MDFeIdentificacao;Numero;MDFeLacres;Numero
FK_MDFeModalRodoviario_MDFeIdentificacao;MDFeIdentificacao;Numero;MDFeModalRodoviario;Numero
FK_MDFeModalRodoviario_MDFeIdentificacao;MDFeIdentificacao;CodEmpresa;MDFeModalRodoviario;CodEmpresa
FK_MDFeModalRodoviario_MDFeIdentificacao;MDFeIdentificacao;Serie;MDFeModalRodoviario;Serie
FK_MDFePagamento_MDFeIdentificacao;MDFeIdentificacao;Serie;MDFePagamento;Serie
FK_MDFePagamento_MDFeIdentificacao;MDFeIdentificacao;Numero;MDFePagamento;Numero
FK_MDFePagamento_MDFeIdentificacao;MDFeIdentificacao;CodEmpresa;MDFePagamento;CodEmpresa
MDFePagamentoComponente_Numero;MDFeIdentificacao;Numero;MDFePagamentoComponente;Numero
MDFePagamentoComponente_Numero;MDFeIdentificacao;CodEmpresa;MDFePagamentoComponente;CodEmpresa
MDFePagamentoComponente_Numero;MDFeIdentificacao;Serie;MDFePagamentoComponente;Serie
MDFePagamentoPrazo_Numero;MDFeIdentificacao;Serie;MDFePagamentoPrazo;Serie
MDFePagamentoPrazo_Numero;MDFeIdentificacao;CodEmpresa;MDFePagamentoPrazo;CodEmpresa
MDFePagamentoPrazo_Numero;MDFeIdentificacao;Numero;MDFePagamentoPrazo;Numero
FK_MDFePamCardViagem_MDFeIdentificacao;MDFeIdentificacao;Numero;MDFePamCardViagem;Numero
FK_MDFePamCardViagem_MDFeIdentificacao;MDFeIdentificacao;CodEmpresa;MDFePamCardViagem;CodEmpresa
FK_MDFePamCardViagem_MDFeIdentificacao;MDFeIdentificacao;Serie;MDFePamCardViagem;Serie
MDFePercurso_Numero;MDFeIdentificacao;Serie;MDFePercurso;Serie
MDFePercurso_Numero;MDFeIdentificacao;CodEmpresa;MDFePercurso;CodEmpresa
MDFePercurso_Numero;MDFeIdentificacao;Numero;MDFePercurso;Numero
MDFeValePedagio_Numero;MDFeIdentificacao;Numero;MDFeValePedagio;Numero
MDFeValePedagio_Numero;MDFeIdentificacao;CodEmpresa;MDFeValePedagio;CodEmpresa
MDFeValePedagio_Numero;MDFeIdentificacao;Serie;MDFeValePedagio;Serie
FK_MDFePamCardViagem_MDFePamCardRota;MDFePamCardRota;idRota;MDFePamCardViagem;idRota
ComandaMesa_CodMesa;Mesas;CodEmpresa;ComandaMesa;CodEmpresa
ComandaMesa_CodMesa;Mesas;CodMesa;ComandaMesa;CodMesa
FK_ProdutosModelos_ModeloProduto;ModeloProduto;CodModeloProduto;ProdutosModelos;CodModeloProduto
MoedasCotacao_SiglaMoeda;Moedas;SiglaMoeda;MoedasCotacao;SiglaMoeda
FK_DevolucaoVenda_MotivoDevolucao;MotivoDevolucao;CodMotivoDevolucao;DevolucaoVenda;CodMotivoDevolucao
RDMTesteReprovacao_CodMotivoReprovacao;MotivoReprovacao;CodMotivoReprovacao;RDMTesteReprovacao;CodMotivoReprovacao
FKMovimentoEstoque_NumRegistro;MovimentoEstoque;NumRegistro;MovimentoEstoqueDevolucao;NumRegistro
MovimentoEstoque_CodFiscal;NaturezaOperacao;CodFiscal;MovimentoEstoque;CodFiscal
FK_NaturezaOperacaoEmpresa_NaturezaOperacao;NaturezaOperacao;CodFiscal;NaturezaOperacaoEmpresa;CodFiscal
FK_NaturezaOperacaoSerieDocumento_NaturezaOperacao;NaturezaOperacao;CodFiscal;NaturezaOperacaoSerieDocumento;CodFiscal
NotaEntrada_CodFiscal;NaturezaOperacao;CodFiscal;NotaEntrada;CodFiscal
FK_NotaEntradaAdicionais_NotaEntrada;NotaEntrada;CodEmpresa;NotaEntradaAdicionais;CodEmpresa
FK_NotaEntradaAdicionais_NotaEntrada;NotaEntrada;Numero;NotaEntradaAdicionais;Numero
FK_NotaEntradaAdicionais_NotaEntrada;NotaEntrada;CodCredor;NotaEntradaAdicionais;CodCredor
NotaEntradaAdicionaisNFe_Numero;NotaEntrada;Numero;NotaEntradaAdicionaisNFe;Numero
NotaEntradaAdicionaisNFe_Numero;NotaEntrada;CodEmpresa;NotaEntradaAdicionaisNFe;CodEmpresa
NotaEntradaAdicionaisNFe_Numero;NotaEntrada;CodCredor;NotaEntradaAdicionaisNFe;CodCredor
FK_NotaEntradaAjusteICMS_NotaEntrada;NotaEntrada;CodCredor;NotaEntradaAjusteICMS;CodCredor
FK_NotaEntradaAjusteICMS_NotaEntrada;NotaEntrada;Numero;NotaEntradaAjusteICMS;Numero
FK_NotaEntradaAjusteICMS_NotaEntrada;NotaEntrada;CodEmpresa;NotaEntradaAjusteICMS;CodEmpresa
FK_NotaEntradaAjustes_NotaEntrada;NotaEntrada;Numero;NotaEntradaAjustes;Numero
FK_NotaEntradaAjustes_NotaEntrada;NotaEntrada;CodEmpresa;NotaEntradaAjustes;CodEmpresa
FK_NotaEntradaAjustes_NotaEntrada;NotaEntrada;CodCredor;NotaEntradaAjustes;CodCredor
FK_NotaEntradaAnotacao_NotaEntrada;NotaEntrada;CodCredor;NotaEntradaAnotacao;CodCredor
FK_NotaEntradaAnotacao_NotaEntrada;NotaEntrada;CodEmpresa;NotaEntradaAnotacao;CodEmpresa
FK_NotaEntradaAnotacao_NotaEntrada;NotaEntrada;Numero;NotaEntradaAnotacao;Numero
NotaEntradaCartaCorrecao_Numero;NotaEntrada;Numero;NotaEntradaCartaCorrecao;Numero
NotaEntradaCartaCorrecao_Numero;NotaEntrada;CodEmpresa;NotaEntradaCartaCorrecao;CodEmpresa
NotaEntradaCartaCorrecao_Numero;NotaEntrada;CodCredor;NotaEntradaCartaCorrecao;CodCredor
FK_NotaEntradaCustoAnterior_NotaEntrada;NotaEntrada;CodCredor;NotaEntradaCustoAnterior;CodCredor
FK_NotaEntradaCustoAnterior_NotaEntrada;NotaEntrada;CodEmpresa;NotaEntradaCustoAnterior;CodEmpresa
FK_NotaEntradaCustoAnterior_NotaEntrada;NotaEntrada;Numero;NotaEntradaCustoAnterior;Numero
FK_NotaEntradaDistribFinanceira_NotaEntrada;NotaEntrada;Numero;NotaEntradaDistribFinanceira;Numero
FK_NotaEntradaDistribFinanceira_NotaEntrada;NotaEntrada;CodEmpresa;NotaEntradaDistribFinanceira;CodEmpresa
FK_NotaEntradaDistribFinanceira_NotaEntrada;NotaEntrada;CodCredor;NotaEntradaDistribFinanceira;CodCredor
NotaEntradaImportacao_Numero;NotaEntrada;CodCredor;NotaEntradaImportacao;CodCredor
NotaEntradaImportacao_Numero;NotaEntrada;CodEmpresa;NotaEntradaImportacao;CodEmpresa
NotaEntradaImportacao_Numero;NotaEntrada;Numero;NotaEntradaImportacao;Numero
FK_NotaEntradaImportacaoPISCOFINS_NotaEntrada;NotaEntrada;Numero;NotaEntradaImportacaoPISCOFINS;Numero
FK_NotaEntradaImportacaoPISCOFINS_NotaEntrada;NotaEntrada;CodEmpresa;NotaEntradaImportacaoPISCOFINS;CodEmpresa
FK_NotaEntradaImportacaoPISCOFINS_NotaEntrada;NotaEntrada;CodCredor;NotaEntradaImportacaoPISCOFINS;CodCredor
NotaEntradaOutrosImpostos_Numero;NotaEntrada;CodEmpresa;NotaEntradaOutrosImpostos;CodEmpresa
NotaEntradaOutrosImpostos_Numero;NotaEntrada;Numero;NotaEntradaOutrosImpostos;Numero
NotaEntradaOutrosImpostos_Numero;NotaEntrada;CodCredor;NotaEntradaOutrosImpostos;CodCredor
FK_NotaEntradaPisCofins_NotaEntrada;NotaEntrada;Numero;NotaEntradaPisCofins;Numero
FK_NotaEntradaPisCofins_NotaEntrada;NotaEntrada;CodCredor;NotaEntradaPisCofins;CodCredor
FK_NotaEntradaPisCofins_NotaEntrada;NotaEntrada;CodEmpresa;NotaEntradaPisCofins;CodEmpresa
NotaEntradaProdutor_Numero;NotaEntrada;CodEmpresa;NotaEntradaProdutor;CodEmpresa
NotaEntradaProdutor_Numero;NotaEntrada;Numero;NotaEntradaProdutor;Numero
NotaEntradaProdutor_Numero;NotaEntrada;CodCredor;NotaEntradaProdutor;CodCredor
NotaEntradaRegiao_Numero;NotaEntrada;CodCredor;NotaEntradaRegiao;CodCredor
NotaEntradaRegiao_Numero;NotaEntrada;Numero;NotaEntradaRegiao;Numero
NotaEntradaRegiao_Numero;NotaEntrada;CodEmpresa;NotaEntradaRegiao;CodEmpresa
FK_NotaEntradaTransportador_NotaEntrada;NotaEntrada;CodEmpresa;NotaEntradaTransportador;CodEmpresa
FK_NotaEntradaTransportador_NotaEntrada;NotaEntrada;Numero;NotaEntradaTransportador;Numero
FK_NotaEntradaTransportador_NotaEntrada;NotaEntrada;CodCredor;NotaEntradaTransportador;CodCredor
FK_NotaSaidaAdicionais_NotaSaida;NotaSaida;Numero;NotaSaidaAdicionais;Numero
FK_NotaSaidaAdicionais_NotaSaida;NotaSaida;CodEmpresa;NotaSaidaAdicionais;CodEmpresa
NotaSaidaAdicionaisNFe_Numero;NotaSaida;CodEmpresa;NotaSaidaAdicionaisNFe;CodEmpresa
NotaSaidaAdicionaisNFe_Numero;NotaSaida;Numero;NotaSaidaAdicionaisNFe;Numero
FK_NotaSaidaAjusteICMS_NotaSaida;NotaSaida;Numero;NotaSaidaAjusteICMS;Numero
FK_NotaSaidaAjusteICMS_NotaSaida;NotaSaida;CodEmpresa;NotaSaidaAjusteICMS;CodEmpresa
FK_NotaSaidaAjustes_NotaSaida;NotaSaida;CodEmpresa;NotaSaidaAjustes;CodEmpresa
FK_NotaSaidaAjustes_NotaSaida;NotaSaida;Numero;NotaSaidaAjustes;Numero
NotaSaidaCartaCorrecao_Numero;NotaSaida;CodEmpresa;NotaSaidaCartaCorrecao;CodEmpresa
NotaSaidaCartaCorrecao_Numero;NotaSaida;Numero;NotaSaidaCartaCorrecao;Numero
NotaSaidaCondicaoPagamento_Numero;NotaSaida;Numero;NotaSaidaCondicaoPagamento;Numero
NotaSaidaCondicaoPagamento_Numero;NotaSaida;CodEmpresa;NotaSaidaCondicaoPagamento;CodEmpresa
FK_NotaSaidaCOPEN_NotaSaida;NotaSaida;Numero;NotaSaidaCOPEN;Numero
FK_NotaSaidaCOPEN_NotaSaida;NotaSaida;CodEmpresa;NotaSaidaCOPEN;CodEmpresa
FK_NotaSaidaCRMBonus_NotaSaida;NotaSaida;Numero;NotaSaidaCRMBonus;Numero
FK_NotaSaidaCRMBonus_NotaSaida;NotaSaida;CodEmpresa;NotaSaidaCRMBonus;CodEmpresa
FK_NotaSaidaCTe_NotaSaida;NotaSaida;CodEmpresa;NotaSaidaCTe;CodEmpresaNotaSaida
FK_NotaSaidaCTe_NotaSaida;NotaSaida;Numero;NotaSaidaCTe;Numero
FK_NotaSaidaCTR_NotaSaida;NotaSaida;CodEmpresa;NotaSaidaCTR;CodEmpresa
FK_NotaSaidaCTR_NotaSaida;NotaSaida;Numero;NotaSaidaCTR;Numero
FK_NotaSaidaDistribFinanceira_NotaSaida;NotaSaida;CodEmpresa;NotaSaidaDistribFinanceira;CodEmpresa
FK_NotaSaidaDistribFinanceira_NotaSaida;NotaSaida;Numero;NotaSaidaDistribFinanceira;Numero
FK_NotaSaidaEmbalagem_NotaSaida;NotaSaida;Numero;NotaSaidaEmbalagem;Numero
FK_NotaSaidaEmbalagem_NotaSaida;NotaSaida;CodEmpresa;NotaSaidaEmbalagem;CodEmpresa
FK_NotaSaidaEntrega_NotaSaida;NotaSaida;CodEmpresa;NotaSaidaEntrega;CodEmpresa
FK_NotaSaidaEntrega_NotaSaida;NotaSaida;Numero;NotaSaidaEntrega;Numero
FK_NotaSaidaExportacao_NotaSaida;NotaSaida;Numero;NotaSaidaExportacao;Numero
FK_NotaSaidaExportacao_NotaSaida;NotaSaida;CodEmpresa;NotaSaidaExportacao;CodEmpresa
NotaSaidaImportacao_Numero;NotaSaida;CodEmpresa;NotaSaidaImportacao;CodEmpresa
NotaSaidaImportacao_Numero;NotaSaida;Numero;NotaSaidaImportacao;Numero
FK_NotaSaidaImportacaoPISCOFINS_NotaSaida;NotaSaida;Numero;NotaSaidaImportacaoPISCOFINS;Numero
FK_NotaSaidaImportacaoPISCOFINS_NotaSaida;NotaSaida;CodEmpresa;NotaSaidaImportacaoPISCOFINS;CodEmpresa
FK_NotaSaidaLoteNFSe_NotaSaida;NotaSaida;CodEmpresa;NotaSaidaLoteNFSe;CodEmpresa
FK_NotaSaidaLoteNFSe_NotaSaida;NotaSaida;Numero;NotaSaidaLoteNFSe;Numero
FK_NotaSaidaNFSe_NotaSaida;NotaSaida;Numero;NotaSaidaNFSe;Numero
FK_NotaSaidaNFSe_NotaSaida;NotaSaida;CodEmpresa;NotaSaidaNFSe;CodEmpresa
FK_NotaSaidaOutrosImpostos_NotaSaida;NotaSaida;CodEmpresa;NotaSaidaOutrosImpostos;CodEmpresa
FK_NotaSaidaOutrosImpostos_NotaSaida;NotaSaida;Numero;NotaSaidaOutrosImpostos;Numero
FK_NotaSaidaPedido_NotaSaida;NotaSaida;Numero;NotaSaidaPedido;Numero
FK_NotaSaidaPedido_NotaSaida;NotaSaida;CodEmpresa;NotaSaidaPedido;CodEmpresa
FK_NotaSaidaRefNFe_NotaSaida;NotaSaida;CodEmpresa;NotaSaidaRefNFe;CodEmpresa
FK_NotaSaidaRefNFe_NotaSaida;NotaSaida;Numero;NotaSaidaRefNFe;Numero
FK_NotaSaidaRegiao_NotaSaida;NotaSaida;Numero;NotaSaidaRegiao;Numero
FK_NotaSaidaRegiao_NotaSaida;NotaSaida;CodEmpresa;NotaSaidaRegiao;CodEmpresa
FK_NotaSaidaServicoVendedor_NotaSaida;NotaSaida;CodEmpresa;NotaSaidaServicoVendedor;CodEmpresa
FK_NotaSaidaServicoVendedor_NotaSaida;NotaSaida;Numero;NotaSaidaServicoVendedor;Numero
FK_NotaSaidaTransportador_NotaSaida;NotaSaida;Numero;NotaSaidaTransportador;Numero
FK_NotaSaidaTransportador_NotaSaida;NotaSaida;CodEmpresa;NotaSaidaTransportador;CodEmpresa
NotaSaidaEntregaProdutos_Numero;NotaSaidaEntrega;CodEmpresa;NotaSaidaEntregaProdutos;CodEmpresa
NotaSaidaEntregaProdutos_Numero;NotaSaidaEntrega;Numero;NotaSaidaEntregaProdutos;Numero
Imoveis_CodObra;Obras;CodObra;Imoveis;CodObra
ObrasOrcamento_CodObra;Obras;CodObra;ObrasOrcamento;CodObra
MarcacaoPonto_CodOcorrenciaPonto;OcorrenciaPonto;CodOcorrenciaPonto;MarcacaoPonto;CodOcorrenciaPonto
FK_OrdemServicoAnexos_OrdemServico;OrdemServico;CodEmpresa;OrdemServicoAnexos;CodEmpresa
FK_OrdemServicoAnexos_OrdemServico;OrdemServico;Numero;OrdemServicoAnexos;Numero
OrdemServicoEquipamento_Numero;OrdemServico;Numero;OrdemServicoEquipamento;Numero
OrdemServicoEquipamento_Numero;OrdemServico;CodEmpresa;OrdemServicoEquipamento;CodEmpresa
OrdemServicoProdutos_Numero;OrdemServico;CodEmpresa;OrdemServicoProdutos;CodEmpresa
OrdemServicoProdutos_Numero;OrdemServico;Numero;OrdemServicoProdutos;Numero
OrdemServicoVeiculo_Numero;OrdemServico;Numero;OrdemServicoVeiculo;Numero
OrdemServicoVeiculo_Numero;OrdemServico;CodEmpresa;OrdemServicoVeiculo;CodEmpresa
Atendimento_CodOrigemAtendimento;OrigemAtendimento;CodOrigemAtendimento;Atendimento;CodOrigemAtendimento
PaletesMovimentacao_CodPalete;Paletes;CodPalete;PaletesMovimentacao;CodPalete
PaletesMovimentacao_CodPalete;Paletes;CodEmpresa;PaletesMovimentacao;CodEmpresa
PaletesProdutos_CodPalete;Paletes;CodEmpresa;PaletesProdutos;CodEmpresa
PaletesProdutos_CodPalete;Paletes;CodPalete;PaletesProdutos;CodPalete
PaletesProdutosLote_CodPalete;Paletes;CodPalete;PaletesProdutosLote;CodPalete
PaletesProdutosLote_CodPalete;Paletes;CodEmpresa;PaletesProdutosLote;CodEmpresa
FK_ClientesDependente_Parentesco;Parentesco;CodParentesco;ClientesDependente;CodParentesco
FK_PDVCaixaFormaPagamento_PDVCaixa1;PDVCaixa;Serie;PDVCaixaFormaPagamento;Serie
FK_PDVCaixaFormaPagamento_PDVCaixa1;PDVCaixa;PDVControle;PDVCaixaFormaPagamento;PDVControle
FK_PDVCaixaFormaPagamento_PDVCaixa1;PDVCaixa;CodEmpresa;PDVCaixaFormaPagamento;CodEmpresa
PDVCaixaTipoDocumento_PDVControle;PDVCaixa;PDVControle;PDVCaixaTipoDocumento;PDVControle
PDVCaixaTipoDocumento_PDVControle;PDVCaixa;CodEmpresa;PDVCaixaTipoDocumento;CodEmpresa
PDVCaixaTipoDocumento_PDVControle;PDVCaixa;Serie;PDVCaixaTipoDocumento;Serie
PedidoCompraDistribFinanceira_NumeroPedido;PedidoCompra;NumeroPedido;PedidoCompraDistribFinanceira;NumeroPedido
PedidoCompraDistribFinanceira_NumeroPedido;PedidoCompra;CodEmpresa;PedidoCompraDistribFinanceira;CodEmpresa
FK_PedidoCompraParcelas_PedidoCompra;PedidoCompra;CodEmpresa;PedidoCompraParcelas;CodEmpresa
FK_PedidoCompraParcelas_PedidoCompra;PedidoCompra;NumeroPedido;PedidoCompraParcelas;NumeroPedido
PedidoCompraProdutos_NumeroPedido;PedidoCompra;CodEmpresa;PedidoCompraProdutos;CodEmpresa
PedidoCompraProdutos_NumeroPedido;PedidoCompra;NumeroPedido;PedidoCompraProdutos;NumeroPedido
FK_PedidoCompraProdutosFichaTecnica_PedidoCompra;PedidoCompra;NumeroPedido;PedidoCompraProdutosFichaTecnica;NumeroPedido
FK_PedidoCompraProdutosFichaTecnica_PedidoCompra;PedidoCompra;CodEmpresa;PedidoCompraProdutosFichaTecnica;CodEmpresa
CampanhaPesquisaResposta_CodPergunta;Perguntas;CodPergunta;CampanhaPesquisaResposta;CodPergunta
PesquisasPerguntas_CodPergunta;Perguntas;CodPergunta;PesquisasPerguntas;CodPergunta
PesquisasPerguntas_CodPesquisa;Pesquisas;CodPesquisa;PesquisasPerguntas;CodPesquisa
MarcacaoPonto_CodPessoa;Pessoal;CodPessoa;MarcacaoPonto;CodPessoa
QuadroHorarioPessoal_CodPessoa;Pessoal;CodPessoa;QuadroHorarioPessoal;CodPessoa
aPagar_CodPortador;Portadores;CodPortador;aPagar;CodPortador
aReceber_CodPortador;Portadores;CodPortador;aReceber;CodPortador
FK_PreOrdemServicoAnexos_PreOrdemServico;PreOrdemServico;CodEmpresa;PreOrdemServicoAnexos;CodEmpresa
FK_PreOrdemServicoAnexos_PreOrdemServico;PreOrdemServico;Numero;PreOrdemServicoAnexos;Numero
